
排名,名称,链接,星级,评分,评价人数
85,春光乍泄,https://movie.douban.com/subject/1292679/,4.5,8.9,484312
86,被嫌弃的松子的一生,https://movie.douban.com/subject/1787291/,4.5,8.9,574161
87,摩登时代,https://movie.douban.com/subject/1294371/,4.5,9.3,220465
88,阿凡达,https://movie.douban.com/subject/1652587/,4.5,8.7,1019542
89,哈利·波特与死亡圣器(下),https://movie.douban.com/subject/3011235/,4.5,8.9,595095
90,喜剧之王,https://movie.douban.com/subject/1302425/,4.5,8.8,735155
91,剪刀手爱德华,https://movie.douban.com/subject/1292370/,4.5,8.7,858373
92,致命ID,https://movie.douban.com/subject/1297192/,4.5,8.8,615939
93,勇敢的心,https://movie.douban.com/subject/1294639/,4.5,8.9,470857
94,加勒比海盗,https://movie.douban.com/subject/1298070/,4.5,8.8,680609
95,杀人回忆,https://movie.douban.com/subject/1300299/,4.5,8.9,519584
96,狩猎,https://movie.douban.com/subject/6985810/,4.5,9.1,284127
97,天使爱美丽,https://movie.douban.com/subject/1292215/,4.5,8.7,814700
98,请以你的名字呼唤我,https://movie.douban.com/subject/26799731/,4.5,8.9,509979
99,断背山,https://movie.douban.com/subject/1418834/,4.5,8.8,571364
100,7号房的礼物,https://movie.douban.com/subject/10777687/,4.5,8.9,414741
101,红辣椒,https://movie.douban.com/subject/1865703/,4.5,9.0,319800
102,幽灵公主,https://movie.douban.com/subject/1297359/,4.5,8.9,420953
103,小森林 夏秋篇,https://movie.douban.com/subject/25814705/,4.5,9.0,327257
104,阳光灿烂的日子,https://movie.douban.com/subject/1291875/,4.5,8.8,485623
105,第六感,https://movie.douban.com/subject/1297630/,4.5,8.9,425038
106,重庆森林,https://movie.douban.com/subject/1291999/,4.5,8.7,614722
